"","Name","Season","Pos","through_4_years","after_2010","BPM","MP"
"1140","Channing Frye",2006,"PF",1,0,-4,1896
"1141","Channing Frye",2007,"C",1,0,-1.8,1342
"1142","Channing Frye",2008,"PF",1,0,-4.2,746
"1143","Deng Gai",2005,"C",0,0,-7.2,5
"1144","Francisco García",2005,"SF",1,0,-0.8,1301
"1145","Francisco García",2006,"SF",1,0,-1.1,1410
"1146","Francisco García",2007,"SF",1,0,0.8,2096
"1147","Francisco García",2008,"SF",1,0,-0.3,1975
"1148","Ryan Gomes",2005,"PF",1,0,-1.2,1376
"1149","Ryan Gomes",2006,"PF",1,0,-1.4,2275
"1150","Ryan Gomes",2007,"PF",1,0,-0.1,2434
"1151","Ryan Gomes",2008,"SF",1,0,-1.7,2614
"1152","Joey Graham",2005,"SF",1,0,-3.8,1581
"1153","Joey Graham",2006,"SF",1,0,-1.9,1319
"1154","Joey Graham",2007,"SF",1,0,-6.5,331
"1155","Joey Graham",2008,"SF",1,0,-3.5,1541
"1156","Stephen Graham",2005,"SG",1,0,-5.675,350
"1157","Stephen Graham",2006,"SG",1,0,-5.7,165
"1158","Stephen Graham",2007,"SF",1,0,4.2,128
"1159","Stephen Graham",2008,"SG",1,0,-6,684
"1160","Danny Granger",2005,"SF",1,0,1.1,1765
"1161","Danny Granger",2006,"SF",1,0,0.2,2785
"1162","Danny Granger",2007,"SF",1,0,1.4,2876
"1163","Danny Granger",2008,"SF",1,0,4.8,2424
"1164","Devin Green",2005,"SG",0,0,-6.5,135
"1165","Gerald Green",2005,"SG",1,0,-3.5,374
"1166","Gerald Green",2006,"SF",1,0,-2.5,1780
"1167","Gerald Green",2007,"SF",1,0,10.6,724
"1168","Gerald Green",2008,"SG",1,0,-4.7,376
"1169","Orien Greene",2005,"PG",1,0,-4.4,1235
"1170","Orien Greene",2006,"SG",1,0,-4.4,254
"1171","Orien Greene",2007,"SG",1,0,-10.9,61
"1172","Anthony Grundy",2005,"SG",0,0,-0.4,108
"1173","Chuck Hayes",2005,"PF",1,0,1.8,535
"1174","Chuck Hayes",2006,"PF",1,0,-0.7,1714
"1175","Chuck Hayes",2007,"PF",1,0,0.8,1575
"1176","Chuck Hayes",2008,"C",1,0,-1.5,858
"1177","Luther Head",2005,"SG",1,0,-0.2,2310
"1178","Luther Head",2006,"SG",1,0,1.6,2211
"1179","Luther Head",2007,"SG",1,0,0.8,1379
"1180","Luther Head",2008,"PG",1,0,-2.3,322
"1181","Luther Head",2008,"PG,SG",1,0,-2,498
"1182","Luther Head",2008,"SG",1,0,-1.5,176
"1183","Julius Hodge",2005,"SG",0,0,-11.7,33
"1184","Julius Hodge",2006,"SG",0,0,0.0666666666666668,130
"1185","Randy Holcomb",2005,"SF",0,0,-1.7,11
"1186","Jarrett Jack",2005,"SG",1,0,-3.1,1599
"1187","Jarrett Jack",2006,"PG",1,0,-0.7,2651
"1188","Jarrett Jack",2007,"SG",1,0,-1.2,2229
"1189","Jarrett Jack",2008,"SG",1,0,-1.4,2716
"1190","Šarunas Jasikevicius",2005,"PG",0,0,0.1,1557
"1191","Šarunas Jasikevicius",2006,"PG",0,0,-3.6,309
"1192","Šarunas Jasikevicius",2006,"PG,SG",0,0,-2.5,973
"1193","Šarunas Jasikevicius",2006,"SG",0,0,-2,664
"1194","Amir Johnson",2005,"SF",1,0,0.4,39
"1195","Amir Johnson",2006,"PF",1,0,0.2,124
"1196","Amir Johnson",2007,"PF",1,0,1.3,764
"1197","Amir Johnson",2008,"PF",1,0,-1.4,911
"1198","Dwayne Jones",2005,"PF",1,0,-4.8,87
"1199","Dwayne Jones",2006,"PF",1,0,-12.5,18
"1200","Dwayne Jones",2007,"PF",1,0,-3.6,472
"1201","Dwayne Jones",2008,"PF",1,0,-5.7,52
"1202","Linas Kleiza",2005,"PF",1,0,-3.7,519
"1203","Linas Kleiza",2006,"PF",1,0,-2.5,1488
"1204","Linas Kleiza",2007,"SF",1,0,-0.9,1889
"1205","Linas Kleiza",2008,"SF",1,0,-1.5,1824
"1206","Yaroslav Korolev",2005,"SF",0,0,-5.6,127
"1207","Yaroslav Korolev",2006,"SF",0,0,-4.1,41
"1208","David Lee",2005,"SF",1,0,0.1,1129
"1209","David Lee",2006,"PF",1,0,3,1731
"1210","David Lee",2007,"PF",1,0,0.4,2356
"1211","David Lee",2008,"C",1,0,0.8,2824
"1212","John Lucas III",2005,"PG",1,0,-4.4,107
"1213","John Lucas III",2006,"PG",1,0,-1.4,383
"1214","Arvydas Macijauskas",2005,"SG",0,0,-4.2,135
"1215","Rawle Marshall",2005,"SF",0,0,-1.8,241
"1216","Rawle Marshall",2006,"SG",0,0,-3.8,361
"1217","Jason Maxiell",2005,"PF",1,0,-9.2,159
"1218","Jason Maxiell",2006,"C",1,0,-2,943
"1219","Jason Maxiell",2007,"C",1,0,-0.1,1768
"1220","Jason Maxiell",2008,"C",1,0,-0.6,1408
"1221","Sean May",2005,"PF",1,0,-2.6,398
"1222","Sean May",2006,"PF",1,0,1.4,838
"1223","Sean May",2008,"PF",1,0,-7.4,301
"1224","Rashad McCants",2005,"SG",1,0,-1.7,1362
"1225","Rashad McCants",2006,"SG",1,0,-5,554
"1226","Rashad McCants",2007,"SG",1,0,-0.8,2020
"1227","Rashad McCants",2008,"SG",1,0,-1.66666666666667,2202
"1228","Aaron Miles",2005,"PG",0,0,-5,118
"1229","C.J. Miles",2005,"PG",1,0,-1.8,203
"1230","C.J. Miles",2006,"SG",1,0,-7.3,373
"1231","C.J. Miles",2007,"SG",1,0,0.6,689
"1232","C.J. Miles",2008,"SG",1,0,-1.6,1623
"1233","Sergei Monia",2005,"SF",0,0,-5.06666666666667,686
"1234","Boniface N'Dong",2005,"C",0,0,-5,152
"1235","Fabricio Oberto",2005,"C",1,0,-3.2,490
"1236","Fabricio Oberto",2006,"C",1,0,-1.3,1365
"1237","Fabricio Oberto",2007,"C",1,0,0.4,1644
"1238","Fabricio Oberto",2008,"C",1,0,-2.2,677
"1239","Andre Owens",2005,"PG",0,0,-8.3,210
"1240","Andre Owens",2007,"PG",0,0,-1,392
"1241","Chris Paul",2005,"PG",1,0,5.2,2808
"1242","Chris Paul",2006,"PG",1,0,5,2353
"1243","Chris Paul",2007,"PG",1,0,10.4,3006
"1244","Chris Paul",2008,"PG",1,0,11,3002
"1245","Johan Petro",2005,"C",1,0,-4.7,1282
"1246","Johan Petro",2006,"C",1,0,-3.7,1510
"1247","Johan Petro",2007,"C",1,0,-5.1,1310
"1248","Johan Petro",2008,"C",1,0,-5.56666666666667,1118
"1249","Josh Powell",2005,"PF",1,0,-3.6,429
"1250","Josh Powell",2006,"PF",1,0,-8.16666666666667,706
"1251","Josh Powell",2007,"C",1,0,-4.9,1228
"1252","Josh Powell",2008,"PF",1,0,-6.4,703
"1253","Ronnie Price",2005,"PG",1,0,-3.2,150
"1254","Ronnie Price",2006,"PG",1,0,-1.8,563
"1255","Ronnie Price",2007,"PG",1,0,-0.7,588
"1256","Ronnie Price",2008,"PG",1,0,-3.5,738
"1257","Shavlik Randolph",2005,"PF",1,0,-2.9,487
"1258","Shavlik Randolph",2006,"PF",1,0,-0.5,179
"1259","Shavlik Randolph",2007,"PF",1,0,-5.1,27
"1260","Shavlik Randolph",2008,"PF",1,0,-3.8,37
"1261","Anthony Roberson",2005,"PG",1,0,-2.3,88
"1262","Anthony Roberson",2006,"PG",1,0,-2.3,227
"1263","Anthony Roberson",2008,"PG",1,0,-3.4,552
"1264","Lawrence Roberts",2005,"C",0,0,-3,181
"1265","Lawrence Roberts",2006,"PF",0,0,-1.7,969
"1266","Nate Robinson",2005,"PG",1,0,-2.1,1544
"1267","Nate Robinson",2006,"PG",1,0,1.1,1356
"1268","Nate Robinson",2007,"PG",1,0,0,1883
"1269","Nate Robinson",2008,"PG",1,0,2.4,2209
"1270","Melvin Sanders",2005,"SG",0,0,-3.9,113
"1271","Alex Scales",2005,"SG",0,0,-5.7,0
"1272","Luke Schenscher",2005,"C",0,0,-1.7,149
"1273","Luke Schenscher",2006,"C",0,0,-8.7,118
"1274","Wayne Simien",2005,"PF",0,0,-4.3,414
"1275","Wayne Simien",2006,"PF",0,0,-5,93
"1276","James Singleton",2005,"SF",1,0,0.4,753
"1277","James Singleton",2006,"PF",1,0,-1.2,376
"1278","James Singleton",2008,"PF",1,0,-0.5,884
"1279","Salim Stoudamire",2005,"SG",0,0,-2.5,1236
"1280","Salim Stoudamire",2006,"SG",0,0,-3.1,1034
"1281","Salim Stoudamire",2007,"PG",0,0,-3.5,402
"1282","Chris Taft",2005,"C",0,0,-0.7,144
"1283","Donell Taylor",2005,"SG",0,0,-2.4,465
"1284","Donell Taylor",2006,"SG",0,0,-3,369
"1285","Dijon Thompson",2005,"SG",0,0,2.9,43
"1286","Dijon Thompson",2006,"SF",0,0,-3.3,50
"1287","Ronny Turiaf",2005,"C",1,0,-2.7,161
"1288","Ronny Turiaf",2006,"C",1,0,-0.7,1087
"1289","Ronny Turiaf",2007,"C",1,0,0.7,1458
"1290","Ronny Turiaf",2008,"C",1,0,1.2,1696
"1291","Charlie Villanueva",2005,"PF",1,0,-0.9,2361
"1292","Charlie Villanueva",2006,"PF",1,0,-1.4,984
"1293","Charlie Villanueva",2007,"PF",1,0,-2.8,1829
"1294","Charlie Villanueva",2008,"PF",1,0,1.1,2095
"1295","Von Wafer",2005,"SG",1,0,-14,73
"1296","Von Wafer",2006,"SF",1,0,-52.4,1
"1297","Von Wafer",2007,"SG",1,0,-9.76666666666667,308
"1298","Von Wafer",2008,"SG",1,0,0.2,1225
"1299","Matt Walsh",2005,"SG",0,0,-15.7,3
"1300","Hakim Warrick",2005,"PF",1,0,-5,724
"1301","Hakim Warrick",2006,"PF",1,0,-2,2152
"1302","Hakim Warrick",2007,"PF",1,0,-1.9,1754
"1303","Hakim Warrick",2008,"PF",1,0,-0.7,2029
"1304","Martell Webster",2005,"SF",1,0,-2.5,1070
"1305","Martell Webster",2006,"SF",1,0,-2,1759
"1306","Martell Webster",2007,"SF",1,0,-0.2,2132
"1307","Martell Webster",2008,"SF",1,0,-14.2,5
"1308","Robert Whaley",2005,"C",0,0,-5.1,212
"1309","Deron Williams",2005,"PG",1,0,-1.7,2307
"1310","Deron Williams",2006,"PG",1,0,1.3,2950
"1311","Deron Williams",2007,"PG",1,0,3.8,3059
"1312","Deron Williams",2008,"PG",1,0,4,2505
"1313","Lou Williams",2005,"PG",1,0,-6.3,145
"1314","Lou Williams",2006,"PG",1,0,-0.4,688
"1315","Lou Williams",2007,"PG",1,0,1.4,1862
"1316","Lou Williams",2008,"SG",1,0,0.6,1919
"1317","Marvin Williams",2005,"PF",1,0,-3.5,1952
"1318","Marvin Williams",2006,"PF",1,0,-3.1,2179
"1319","Marvin Williams",2007,"SF",1,0,-1.4,2765
"1320","Marvin Williams",2008,"SF",1,0,0.8,2093
"1321","Antoine Wright",2005,"SG",1,0,-8.8,370
"1322","Antoine Wright",2006,"SG",1,0,-3.3,1137
"1323","Antoine Wright",2007,"SG",1,0,-2.9,2464
"1324","Antoine Wright",2008,"SF",1,0,-3.5,1552
"1325","Bracey Wright",2005,"SG",0,0,-2.7,135
"1326","Bracey Wright",2006,"SG",0,0,-0.9,190
"1327","Derrick Zimmerman",2005,"PG",0,0,-10.4,32
"1328","Hassan Adams",2006,"SG",0,0,-1.5,495
"1329","Hassan Adams",2008,"SG",0,0,-9.4,52
"1330","Maurice Ager",2006,"SG",1,0,-8.7,214
"1331","Maurice Ager",2007,"SG",1,0,-11.1666666666667,330
"1332","Maurice Ager",2008,"SG",1,0,-10.7,97
"1333","LaMarcus Aldridge",2006,"C",1,0,-1.4,1392
"1334","LaMarcus Aldridge",2007,"PF",1,0,0.2,2649
"1335","LaMarcus Aldridge",2008,"PF",1,0,1.3,3004
"1336","LaMarcus Aldridge",2009,"PF",1,0,1.2,2922
"1337","Lou Amundson",2006,"PF",1,0,-5.63333333333333,178
"1338","Lou Amundson",2007,"PF",1,0,-8.5,64
"1339","Lou Amundson",2008,"PF",1,0,-2.5,1044
"1340","Lou Amundson",2009,"PF",1,0,-1.1,1168
"1341","Hilton Armstrong",2006,"C",1,0,-2.6,634
"1342","Hilton Armstrong",2007,"C",1,0,-5.8,732
"1343","Hilton Armstrong",2008,"C",1,0,-3.8,1092
"1344","Hilton Armstrong",2009,"C",1,0,-7.8,96
"1345","Hilton Armstrong",2009,"C,PF",1,0,-6.1,335
"1346","Hilton Armstrong",2009,"PF",1,0,-5.8,239
"1347","James Augustine",2006,"PF",0,0,-1,7
"1348","James Augustine",2007,"PF",0,0,-2.8,149
"1349","Kelenna Azubuike",2006,"SG",1,0,-0.9,669
"1350","Kelenna Azubuike",2007,"SG",1,0,-0.8,1732
"1351","Kelenna Azubuike",2008,"SF",1,0,-0.5,2375
"1352","Kelenna Azubuike",2009,"SF",1,0,2.1,231
"1353","Renaldo Balkman",2006,"SF",1,0,1.3,1064
"1354","Renaldo Balkman",2007,"SF",1,0,-1.8,952
"1355","Renaldo Balkman",2008,"PF",1,0,1.4,780
"1356","Renaldo Balkman",2009,"SF",1,0,-2.4,91
"1357","J.J. Barea",2006,"PG",1,0,-5.2,191
"1358","J.J. Barea",2007,"PG",1,0,-1.9,460
"1359","J.J. Barea",2008,"SG",1,0,-1.5,1600
"1360","J.J. Barea",2009,"PG",1,0,-1.3,1546
"1361","Andrea Bargnani",2006,"PF",1,0,-1.8,1629
"1362","Andrea Bargnani",2007,"PF",1,0,-3.7,1861
"1363","Andrea Bargnani",2008,"PF",1,0,-0.8,2453
"1364","Andrea Bargnani",2009,"PF",1,0,-0.8,2799
"1365","Will Blalock",2006,"PG",0,0,-5.8,166
"1366","Josh Boone",2006,"PF",1,0,-2.9,669
"1367","Josh Boone",2007,"PF",1,0,-1.8,1773
"1368","Josh Boone",2008,"C",1,0,-1.7,995
"1369","Josh Boone",2009,"PF",1,0,-2,1045
"1370","Cedric Bozeman",2006,"SG",0,0,-7.3,199
"1371","Ronnie Brewer",2006,"SG",1,0,1.2,675
"1372","Ronnie Brewer",2007,"SG",1,0,3.8,2088
"1373","Ronnie Brewer",2008,"SF",1,0,1.5,2605
"1374","Ronnie Brewer",2009,"SG",1,0,-0.0666666666666667,3484
"1375","Andre Brown",2006,"PF",0,0,-5.2,271
"1376","Andre Brown",2007,"PF",0,0,-4.7,286
"1377","Andre Brown",2008,"PF",0,0,-14.2,41
"1378","Dee Brown",2006,"PG",0,0,-1.8,450
"1379","Dee Brown",2008,"PG",0,0,-7.06666666666667,522
"1380","Shannon Brown",2006,"SG",1,0,-5.7,202
"1381","Shannon Brown",2007,"SG",1,0,-13.7333333333333,480
"1382","Shannon Brown",2008,"SG",1,0,0.1,954
"1383","Shannon Brown",2009,"SG",1,0,-0.4,1700
"1384","Rodney Carney",2006,"SF",1,0,-2.2,1169
"1385","Rodney Carney",2007,"SF",1,0,-1.7,1039
"1386","Rodney Carney",2008,"SG",1,0,-0.8,1199
"1387","Rodney Carney",2009,"SG",1,0,-1.3,857
"1388","Mardy Collins",2006,"SF",1,0,-3.1,777
"1389","Mardy Collins",2007,"SG",1,0,-6.4,634
"1390","Mardy Collins",2008,"PG",1,0,-3.2,815
"1391","Mardy Collins",2008,"PG,SG",1,0,-3.5,890
"1392","Mardy Collins",2008,"SG",1,0,-6.4,75
"1393","Mardy Collins",2009,"SG",1,0,-5.8,470
"1394","Will Conroy",2006,"PG",1,0,-9.7,35
"1395","Will Conroy",2006,"PG,SG",1,0,-7.4,52
"1396","Will Conroy",2006,"SG",1,0,-2.7,17
"1397","Will Conroy",2009,"PG",1,0,-13.5,36
"1398","Paul Davis",2006,"C",1,0,-3.5,180
"1399","Paul Davis",2007,"PF",1,0,-5.5,194
"1400","Paul Davis",2008,"PF",1,0,-4.4,320
"1401","Paul Davis",2009,"PF",1,0,18.2,8
"1402","Yakhouba Diawara",2006,"SG",1,0,-3.9,1177
"1403","Yakhouba Diawara",2007,"SG",1,0,-3.6,542
"1404","Yakhouba Diawara",2008,"SF",1,0,-4.2,851
"1405","Yakhouba Diawara",2009,"SG",1,0,-11.4,44
"1406","Quincy Douby",2006,"PG",0,0,-3.8,359
"1407","Quincy Douby",2007,"PG",0,0,-3.4,876
"1408","Quincy Douby",2008,"PG",0,0,-2.86666666666667,600
"1409","Jordan Farmar",2006,"PG",1,0,-1.7,1090
"1410","Jordan Farmar",2007,"PG",1,0,1.3,1690
"1411","Jordan Farmar",2008,"PG",1,0,-2.6,1192
"1412","Jordan Farmar",2009,"PG",1,0,-0.4,1474
"1413","Desmon Farmer",2006,"SG",0,0,3.1,32
"1414","Desmon Farmer",2008,"SG",0,0,-9.9,54
"1415","Randy Foye",2006,"PG",1,0,-1,1879
"1416","Randy Foye",2007,"PG",1,0,-2.2,1259
"1417","Randy Foye",2008,"SG",1,0,-0.8,2494
"1418","Randy Foye",2009,"PG",1,0,-1.2,1667
"1419","Jorge Garbajosa",2006,"PF",0,0,0.3,1909
"1420","Jorge Garbajosa",2007,"PF",0,0,-0.5,74
"1421","Rudy Gay",2006,"SF",1,0,-2.2,2103
"1422","Rudy Gay",2007,"SF",1,0,0.8,3000
"1423","Rudy Gay",2008,"SF",1,0,-1.1,2945
"1424","Rudy Gay",2009,"SF",1,0,0.5,3175
"1425","Mickaël Gelabale",2006,"SF",1,0,-2.6,1239
"1426","Mickaël Gelabale",2007,"SG",1,0,-3.1,465
"1427","Daniel Gibson",2006,"PG",1,0,-0.7,988
"1428","Daniel Gibson",2007,"PG",1,0,-0.4,1765
"1429","Daniel Gibson",2008,"PG",1,0,-1,1795
"1430","Daniel Gibson",2009,"PG",1,0,0,1068
"1431","Andreas Glyniadakis",2006,"C",0,0,-14,81
"1432","Lynn Greer",2006,"SG",0,0,-1.5,432
"1433","Mike Hall",2006,"SF",0,0,-8.8,13
"1434","Walter Herrmann",2006,"PF",0,0,0.8,936
"1435","Walter Herrmann",2007,"PF",0,0,-0.333333333333333,746
"1436","Walter Herrmann",2008,"SF",0,0,-1.4,630
"1437","Robert Hite",2006,"SG",0,0,-6.3,136
"1438","Ryan Hollins",2006,"C",1,0,-6.7,185
"1439","Ryan Hollins",2007,"PF",1,0,-3.8,532
"1440","Ryan Hollins",2008,"C",1,0,-2.53333333333333,888
"1441","Ryan Hollins",2009,"C",1,0,-4.6,1223
"1442","Mile Ilic",2006,"C",0,0,-52,6
"1443","Ersan Ilyasova",2006,"PF",1,0,-2.9,973
"1444","Ersan Ilyasova",2009,"PF",1,0,0.4,1898
"1445","Alexander Johnson",2006,"PF",0,0,-3.5,753
"1446","Alexander Johnson",2007,"PF",0,0,-6.2,549
"1447","Bobby Jones",2006,"SF",0,0,-4.9,336
"1448","Bobby Jones",2007,"SF",0,0,-4.45,1062
"1449","Solomon Jones",2006,"PF",1,0,-3.1,666
"1450","Solomon Jones",2007,"PF",1,0,-8.8,145
"1451","Solomon Jones",2008,"C",1,0,-2.7,675
"1452","Solomon Jones",2009,"C",1,0,-4.2,675
"1453","Tarence Kinsey",2006,"SG",0,0,-2,967
"1454","Tarence Kinsey",2007,"SG",0,0,-3.2,96
"1455","Tarence Kinsey",2008,"SG",0,0,-3.2,277
"1456","James Lang",2006,"C",0,0,-6.4,55
"1457","Kyle Lowry",2006,"PG",1,0,4.7,175
"1458","Kyle Lowry",2007,"PG",1,0,-0.9,2089
"1459","Kyle Lowry",2008,"PG",1,0,0.4,3358
"1460","Kyle Lowry",2009,"PG",1,0,0.8,1651
"1461","Renaldo Major",2006,"PF",0,0,-13.3,27
"1462","Damir Markota",2006,"PF",0,0,-8.5,170
"1463","Chris McCray",2006,"SG",0,0,-27.7,12
"1464","Ivan McFarlin",2006,"PF",0,0,-5.2,41
"1465","Pops Mensah-Bonsu",2006,"PF",1,0,-6.6,71
"1466","Pops Mensah-Bonsu",2008,"PF",1,0,-1.3,566
"1467","Pops Mensah-Bonsu",2009,"PF",1,0,-3.33333333333333,240
"1468","Paul Millsap",2006,"PF",1,0,0.6,1472
"1469","Paul Millsap",2007,"PF",1,0,-0.2,1702
"1470","Paul Millsap",2008,"PF",1,0,1.1,2290
"1471","Paul Millsap",2009,"PF",1,0,0.4,2277
"1472","Randolph Morris",2006,"C",1,0,-6.6,44
"1473","Randolph Morris",2007,"C",1,0,-11.6,181
"1474","Randolph Morris",2008,"C",1,0,-10.5,89
"1475","Randolph Morris",2009,"PF",1,0,-6,124
"1476","Adam Morrison",2006,"PF",1,0,-5.1,2326
"1477","Adam Morrison",2008,"SF",1,0,-6.16666666666667,1422
"1478","Adam Morrison",2009,"SF",1,0,-4.7,241
"1479","David Noel",2006,"PF",0,0,-3.1,792
"1480","Steve Novak",2006,"SF",1,0,-1.5,191
"1481","Steve Novak",2007,"SF",1,0,4.2,264
"1482","Steve Novak",2008,"PF",1,0,-0.4,1161
"1483","Steve Novak",2009,"SF",1,0,-3.7,362
"1484","Patrick O'Bryant",2006,"C",1,0,-4.6,119
"1485","Patrick O'Bryant",2007,"C",1,0,-3.9,99
"1486","Patrick O'Bryant",2008,"C",1,0,-4.5,510
"1487","Patrick O'Bryant",2009,"C",1,0,-6.6,51
"1488","Kevinn Pinkney",2006,"PF",0,0,-2.5,100
"1489","Leon Powe",2006,"C",1,0,-3.8,720
"1490","Leon Powe",2007,"C",1,0,0.2,809
"1491","Leon Powe",2008,"PF",1,0,-0.3,1227
"1492","Leon Powe",2009,"SF",1,0,-5.8,236
"1493","Roger Powell",2006,"SF",0,0,-18.9,13
"1494","Chris Quinn",2006,"PG",1,0,-1.9,408
"1495","Chris Quinn",2007,"PG",1,0,-0.5,1340
"1496","Chris Quinn",2008,"PG",1,0,-1,962
"1497","Chris Quinn",2009,"PG",1,0,-2.5,223
"1498","Allan Ray",2006,"SG",0,0,-2.7,710
"1499","J.J. Redick",2006,"PG",1,0,0.1,622
"1500","J.J. Redick",2007,"SG",1,0,-2.4,276
"1501","J.J. Redick",2008,"SG",1,0,-1,1111
"1502","J.J. Redick",2009,"SG",1,0,1.8,1808
"1503","Jeremy Richardson",2006,"SF",0,0,-4.1,1
"1504","Jeremy Richardson",2006,"SF,SG",0,0,1.8,20
"1505","Jeremy Richardson",2006,"SG",0,0,2.1,19
"1506","Jeremy Richardson",2007,"SF",0,0,-15.4,103
"1507","Jeremy Richardson",2007,"SF,SG",0,0,-7.8,132
"1508","Jeremy Richardson",2007,"SG",0,0,-1.7,29
"1509","Jeremy Richardson",2008,"SF",0,0,-10.3,93
"1510","Sergio Rodríguez",2006,"PG",1,0,-1.1,862
"1511","Sergio Rodríguez",2007,"PG",1,0,-3.7,628
"1512","Sergio Rodríguez",2008,"PG",1,0,-1.4,1225
"1513","Sergio Rodríguez",2009,"PG",1,0,-1.26666666666667,2096
"1514","Rajon Rondo",2006,"PG",1,0,-0.2,1831
"1515","Rajon Rondo",2007,"PG",1,0,2.1,2306
"1516","Rajon Rondo",2008,"PG",1,0,4,2642
"1517","Rajon Rondo",2009,"PG",1,0,3.6,2963
"1518","Brandon Roy",2006,"SG",1,0,2,2015
"1519","Brandon Roy",2007,"SG",1,0,3.3,2792
"1520","Brandon Roy",2008,"SG",1,0,6.2,2903
"1521","Brandon Roy",2009,"SG",1,0,4.7,2419
"1522","Thabo Sefolosha",2006,"SG",1,0,-2.6,868
"1523","Thabo Sefolosha",2007,"SG",1,0,-1,1436
"1524","Thabo Sefolosha",2008,"SF",1,0,0.5,735
"1525","Thabo Sefolosha",2008,"SF,SG",1,0,0.8,1453
"1526","Thabo Sefolosha",2008,"SG",1,0,1.2,718
"1527","Thabo Sefolosha",2009,"SG",1,0,0.1,2348
"1528","Mouhamed Sene",2006,"C",0,0,-8.1,169
"1529","Mouhamed Sene",2007,"C",0,0,-3.2,62
"1530","Mouhamed Sene",2008,"C",0,0,8.13333333333333,58
"1531","Cedric Simmons",2006,"PF",0,0,-4.4,534
"1532","Cedric Simmons",2007,"PF",0,0,-11.7333333333333,174
"1533","Cedric Simmons",2008,"PF",0,0,-7,168
"1534","Uroš Slokar",2006,"C",0,0,-5.6,72
"1535","Craig Smith",2006,"PF",1,0,-1.8,1537
"1536","Craig Smith",2007,"PF",1,0,-1.3,1547
"1537","Craig Smith",2008,"PF",1,0,-0.6,1460
"1538","Craig Smith",2009,"PF",1,0,-0.8,1232
"1539","Steven Smith",2006,"PF",0,0,-14.9,28
"1540","Vassilis Spanoulis",2006,"SG",0,0,-5.9,272
"1541","Tyrus Thomas",2006,"PF",1,0,-1,966
"1542","Tyrus Thomas",2007,"PF",1,0,-0.6,1330
"1543","Tyrus Thomas",2008,"PF",1,0,0,2175
"1544","Tyrus Thomas",2009,"C",1,0,-0.5,542
"1545","Tyrus Thomas",2009,"C,PF",1,0,0.9,1220
"1546","Tyrus Thomas",2009,"PF",1,0,2,678
"1547","P.J. Tucker",2006,"SF",1,0,-3,83
"1548","Marcus Vinicius",2006,"SF",0,0,-3.3,103
"1549","Marcus Vinicius",2007,"SF",0,0,-2.5,69
"1550","James White",2006,"SG",1,0,-4,137
"1551","James White",2008,"SF",1,0,2.4,11
"1552","Justin Williams",2006,"C",0,0,-2.9,333
"1553","Justin Williams",2007,"C",0,0,-12.4666666666667,246
"1554","Marcus Williams",2006,"PG",1,0,-3.7,1315
"1555","Marcus Williams",2007,"PG",1,0,-2.4,854
"1556","Marcus Williams",2008,"PG",1,0,-8.2,54
"1557","Marcus Williams",2009,"PG",1,0,-3.1,872
"1558","Shawne Williams",2006,"SG",1,0,-2.7,556
"1559","Shawne Williams",2007,"SF",1,0,-1.8,967
"1560","Shawne Williams",2008,"SF",1,0,-6.5,170
"1561","Shelden Williams",2006,"PF",1,0,-3.3,1514
"1562","Shelden Williams",2007,"PF",1,0,-3.46666666666667,1552
"1563","Shelden Williams",2008,"PF",1,0,-3.33333333333333,1024
"1564","Shelden Williams",2009,"PF",1,0,-1.4,597
"1565","Arron Afflalo",2007,"SG",1,0,-1.5,970
"1566","Arron Afflalo",2008,"SG",1,0,-2.6,1234
"1567","Arron Afflalo",2009,"SG",1,0,-0.4,2221
"1568","Arron Afflalo",2010,"SG",1,0,1.4,2324
"1569","Blake Ahearn",2007,"PG",1,0,-4.8,177
"1570","Blake Ahearn",2008,"PG",1,0,-0.9,19
"1571","Lance Allred",2007,"C",0,0,-11.1,10
"1572","Morris Almond",2007,"SG",1,0,-12,39
"1573","Morris Almond",2008,"SG",1,0,-6.3,255
"1574","Joel Anthony",2007,"PF",1,0,-5.5,498
"1575","Joel Anthony",2008,"C",1,0,-2.7,1048
"1576","Joel Anthony",2009,"C",1,0,-1.7,1322
"1577","Joel Anthony",2010,"C",1,0,-1.6,1463
"1578","Marco Belinelli",2007,"SG",1,0,-4.6,241
"1579","Marco Belinelli",2008,"SG",1,0,-2.3,882
"1580","Marco Belinelli",2009,"SG",1,0,-1.3,1121
"1581","Marco Belinelli",2010,"SG",1,0,-0.6,1957
"1582","Corey Brewer",2007,"SF",1,0,-4.1,1803
"1583","Corey Brewer",2008,"SF",1,0,-1.5,307
"1584","Corey Brewer",2009,"SG",1,0,-2.2,2482
"1585","Corey Brewer",2010,"SF",1,0,-2.8,1362
"1586","Corey Brewer",2010,"SF,SG",1,0,-2.3,1510
"1587","Corey Brewer",2010,"SG",1,0,1.8,148
"1588","Aaron Brooks",2007,"PG",1,0,-0.2,608
"1589","Aaron Brooks",2008,"PG",1,0,-0.9,1998
"1590","Aaron Brooks",2009,"PG",1,0,0.7,2919
"1591","Aaron Brooks",2010,"PG",1,0,-2.73333333333333,2568
"1592","Wilson Chandler",2007,"SF",1,0,-4,685
"1593","Wilson Chandler",2008,"SF",1,0,-1,2735
"1594","Wilson Chandler",2009,"SG",1,0,-2.1,2320
"1595","Wilson Chandler",2010,"SF",1,0,-0.333333333333333,4802
